course_code,title,requirement_type,required_for_majors,elective_for_majors
ME 342,Heat Transfer: Fundamentals and Design Applications,required_coursework,me,
ME 351,Feedback Control Systems,required_coursework,me,
ME 352,Process Control Laboratory,required_coursework,me,
ME 353,Mechatronics,engineering_electives,,
ME 360,Engineering Experimentation,required_coursework,me,
ME 363-364,Selected Topics in Mechanical Engineering,engineering_electives,,
ME 365,Mechanical Engineering Research Problem,engineering_electives,,
ME 371,Data-Driven Problem Solving in Mechanical Engineering,engineering_electives,,
ME 393,Mechanical Engineering Projects,required_coursework,me,
ME 394,Capstone Senior ME Design,required_coursework,me,
ME 401,Advanced Mechanical Vibrations,engineering_electives,,
ME 405,Automotive Engineering Fundamentals,engineering_electives,,
ME 407,Introduction to Computational Fluid Dynamics,engineering_electives,,
ME 408,Introduction to Computer Aided Engineering (CAE),engineering_electives,,
ME 412,Autonomous Mobile Robots,engineering_electives,,
ME 413,Advanced Product Development,engineering_electives,,
ME 415,Introduction to Nanotechnology,engineering_electives,,
ME 416,Materials in a Circular Economy,engineering_electives,,
ME 422,Fundamentals of Aerodynamics,engineering_electives,,
ME 423,Aircraft Engineering Fundamentals,engineering_electives,,
ME 424,Space Dynamics,engineering_electives,,
ME 431,Internal Combustion Engines,engineering_electives,,
ME 432,Introduction to Nuclear Power Plant Technology,engineering_electives,,
ME 433,Rocket Science (same as ChE 433),engineering_electives,,
ME 434,Special Topics In Combustion,engineering_electives,,
ME 435,Thermal Systems Design,engineering_electives,,
ME 436,Plasma Engineering,engineering_electives,,
ME 440,Advanced Fluid Mechanics,engineering_electives,,
ME 451,Modern Control,engineering_electives,,
ME 452,"Heating, Ventilation, and Air Conditioning",engineering_electives,,
ME 453,Energy Efficient Building Systems,engineering_electives,,
ME 457,Drone Control,engineering_electives,,
ME 458,Industrial Robots,engineering_electives,,
ME 459,Bio-Inspired Robotics,engineering_electives,,
ME 465,Sound and Space (same as EID 465),engineering_electives,,
ME 493-494,Selected Advanced Topics in Mechanical Engineering,engineering_electives,,
ME 499,Thesis/Project,engineering_electives,,
ESC 000.1-000.4,Engineering Professional Development Seminars,engineering_electives,,
ESC 200,Engineering Mechanics,required_coursework,cive,
ESC 201,Mechanics of Materials,required_coursework,cive|me,
ESC 210,Materials Science,required_coursework,cive|me,
ESC 220,Principles of Electrical Engineering,engineering_electives,,
ESC 221,Basic Principles of Electrical Engineering,required_coursework,me,
ESC 251,Systems Engineering,required_coursework,me,
ESC 330,Engineering Thermodynamics,required_coursework,cive|me,
ESC 340,Fluid Mechanics and Flow Systems,required_coursework,cive|me,
EID 101,Engineering Design and Problem Solving,required_coursework,cheme|cive|cs|ee1|ee2|me,
EID 102,Engineering Graphics,required_coursework,cheme|cive|me,
EID 103,Principles of Design,required_coursework,me,
EID 105,Drawing and Sketching for Engineers,engineering_electives,,
EID 116,Musical Instrument Design,engineering_electives,,
EID 210,Engineering Design Graphics,engineering_electives,,
EID 220,Foundations of Bioengineering,engineering_electives,,
EID 221,Biotransport Phenomena,engineering_electives,,
EID 222,Biomaterials,engineering_electives,,
EID 231,Sustainable Energetics,engineering_electives,,
EID 233,Environmental Technologies for the Built Environment: Fundamentals,engineering_electives,,
EID 234,Environmental Technologies for the Built Environment: Materials and Systems,engineering_electives,,
EID 247,Introduction to Sustainability and Alternative Energy Technologies,engineering_electives,,
EID 255,Food Science: Frozen Desserts (same as Ch 255),engineering_electives,,
EID 260,"Acoustics, Noise and Vibration Control",engineering_electives,,
EID 270,Engineering Economy,engineering_electives,,
EID 278,Ethics of Computer Science,engineering_electives,,
EID 300,Special Research Project,engineering_electives,,
EID 312,Manufacturing Engineering,engineering_electives,,
EID 314,Cloud-Based Design and Manufacture,engineering_electives,,
EID 320 - 323,Special Topics in Bioengineering I - IV,engineering_electives,,
EID 325,Science and Application of Bioengineering Technology,engineering_electives,,
EID 326,Biomechanics,engineering_electives,,
EID 327,Tissue Engineering,engineering_electives,,
EID 328,Injury Biomechanics and Safety Design,engineering_electives,,
EID 334-IS,The Science and Art of Brewing,engineering_electives,,
EID 343,Water Resources Engineering (same as CE 343),engineering_electives,,
EID 344,Environmental Systems Engineering (same as CE 344),engineering_electives,,
EID 348,Environmental and Sanitary Engineering (same as CE348),engineering_electives,,
EID 353,Mechatronics,engineering_electives,,
EID 357,Sustainable Engineering and Development,engineering_electives,,
EID 362,Interdisciplinary Senior Project I,engineering_electives,,
EID 363,Interdisciplinary Senior Project II Continuation of EID 362,engineering_electives,,
EID 364,Interdisciplinary Engineering Research Problem,engineering_electives,,
EID 365,Engineering and Entrepreneurship,engineering_electives,,
EID 366,Lean Launchpad,engineering_electives,,
EID 367,Elements of Innovation,engineering_electives,,
EID 370,Engineering Management,engineering_electives,,
EID 371,Operations Management,engineering_electives,,
EID 372,Global Perspectives in Technology Management,engineering_electives,,
EID 374,Business Economics,engineering_electives,,
EID 375,Applied Food Science and Engineering,engineering_electives,,
EID 376,Economics of Alternative Energy,engineering_electives,,
EID 377,Distributed Artificial Intelligence and Blockchain Applications,engineering_electives,,
EID 378,Finance,engineering_electives,,
EID 390,Introduction to Sustainable Design,engineering_electives,,
EID 414,Solid Waste Management (same as CE 414),engineering_electives,,
EID 416,Materials in a Circular Economy,engineering_electives,,
EID 422,Finite Element Methods,engineering_electives,,
EID 423,Synthetic Biology,engineering_electives,,
EID 424,Bioengineering Applications in Sports Medicine,engineering_electives,,
EID 425,Structural Dynamics,engineering_electives,,
EID 430,Thermodynamics of Special Systems,engineering_electives,,
EID 432,Phase Transitions: Simulations and Applications (same as ChE 432),engineering_electives,,
EID 437,Geo-Environmental Engineering (same as CE 437),engineering_electives,,
EID 438,Industrial Waste Treatment Design (same as CE 440),engineering_electives,,
EID 439,Water and Wastewater Technology (same as CE 441),engineering_electives,,
EID 440,Advanced Fluid Mechanics,engineering_electives,,
EID 441,Advanced Heat and Mass Transfer,engineering_electives,,
EID 444,Computational Modeling of Materials and Molecules (Starting Spring 2025),engineering_electives,,
EID 446,Pollution Prevention of Minimization (same as CE 446),engineering_electives,,
EID 447,Sustainability and Pollution Prevention,engineering_electives,,
EID 448,Environmental and Sanitary Engineering (same as CE 448),engineering_electives,,
EID 449,Hazardous Waste Management (same as CE 449),engineering_electives,,
EID 451,Nanomaterials,engineering_electives,,
EID 458,Industrial Robots,engineering_electives,,
EID 460.1,Heat Transfer Equipment Design (Heat Exchangers),engineering_electives,,
EID 465,Sound and Space (same as ME 465),engineering_electives,,
EID 469,Independent Study Project,engineering_electives,,
EID 470,Urban Security,engineering_electives,,
EID 471,Selected Topics in Chemical Engineering (same as ChE 471),engineering_electives,,
EID 486,Urban Megaprojects and Environmental Impact Assessment,engineering_electives,,
EID 488,Convex Optimization Techniques,engineering_electives,,
Bio 201,Biology for Engineers I,engineering_electives,,
Bio 202,Biology for Engineers II,engineering_electives,,
Bio 250,Biotechnology in Environmental Systems,required_coursework,cive,
Bio 364,Bioengineering Research Problem,engineering_electives,,
Bio 422,"Protein Expression, Purification and Analysis",engineering_electives,,
Ch 110,General Chemistry,required_coursework,cheme|cive|ee1|ee2|me,
Ch 111,General Chemistry Laboratory,required_coursework,cheme|cive|ee1|ee2|me,
Ch 160,Physical Principles of Chemistry,engineering_electives,,
Ch 161,Physical Principles of Chemistry,required_coursework,cheme,
Ch 231,Organic Chemistry I,required_coursework,cheme,
Ch 232,Organic Chemistry II,engineering_electives,,
Ch 232.1,Principles of Organic Chemistry II Selection of topics from Ch 232,required_coursework,cheme,
Ch 233,Organic Chemistry Laboratory,required_coursework,cheme,
Ch 250,Analytical Chemistry,engineering_electives,,
Ch 255,Food Science: Frozen Desserts (same as EID 255),engineering_electives,,
Ch 340,Biochemistry,engineering_electives,,
Ch 351,Instrumental Analysis Laboratory,required_coursework,cheme,
Ch 361,Physical Chemistry I,engineering_electives,,
Ch 362,Physical Chemistry II,engineering_electives,,
Ch 363,Physical Chemistry,required_coursework,cheme,
Ch 364,Solid State Chemistry,engineering_electives,,
Ch 365,Chemical Kinetics,engineering_electives,,
Ch 370,Inorganic Chemistry,engineering_electives,,
Ch 380,Selected Topics in Chemistry,engineering_electives,,
Ch 391,Research Problem I,engineering_electives,,
Ch 392 to 398,Research Problem II to VIII,engineering_electives,,
Ch 433,Advanced Organic Chemistry,engineering_electives,,
Ch 435,Organometallic Chemistry,engineering_electives,,
Ch 440,Biochemistry II,engineering_electives,,
Ch 451,Nanomaterials,engineering_electives,,
Ch 452,Electrochemistry,engineering_electives,,
Ch 460,Statistical Mechanics and Computational Chemistry,engineering_electives,,
Ch 480,Special Topics in Chemistry,engineering_electives,,
Ch 491,Advanced Chemistry Research I,engineering_electives,,
Ch 492,Advanced Chemistry Research II,engineering_electives,,
Ch 493,Advanced Chemistry Research III,engineering_electives,,
Ch 494,Advanced Chemistry Research IV,engineering_electives,,
CS 101,Survey of Computer Science,required_coursework,cs,
CS 102,Introduction to Computer Science,required_coursework,cheme|cive|me,
CS 160,Introduction to Procedural Programming,required_coursework,cs,
CS 211,Ethics of Computer Science,required_coursework,cs,
CS 261,Data Structures and Algorithms,required_coursework,cs,
CS 278,Ethics of Computer Science,engineering_electives,,
CS 291,Sophomore CS Projects,required_coursework,cs,
CS 321,Distributed and Cloud Computing,required_coursework,cs,
CS 331,Data Visualization (same as ECE 331),required_coursework,cs,
CS 361,Advanced Data Structures and Algorithms,required_coursework,cs,
CS 371,Introduction to Machine Learning and Artificial Intelligence,required_coursework,cs,
CS 394,Junior CS Projects,required_coursework,cs,
CS 395,Senior CS Projects I,required_coursework,cs,
CS 396,Senior CS Projects II,required_coursework,cs,
CS 499,Master Thesis,engineering_electives,,
Ma 110,Introduction to Linear Algebra (Starting Fall 2023),required_coursework,cheme|cive|cs|ee1|ee2|me,
Ma 111,Calculus I,required_coursework,cheme|cive|cs|ee1|ee2|me,
Ma 113,Calculus II,required_coursework,cheme|cive|cs|ee1|ee2|me,
Ma 151.1,Mathematics in Art,engineering_electives,,
Ma 223,Vector Calculus (Prior to Fall 2026),required_coursework,cheme|cive|ee1|ee2|me,
Ma 224,Probability (Prior to Fall 2026),required_coursework,cheme|cive|ee1|ee2|me,
Ma 224.1,Probability and Statistics,engineering_electives,,
Ma 225,Vector Calculus (Starting Fall 2026),required_coursework,cs,
Ma 226,Probability (Starting Fall 2026),required_coursework,cs,
Ma 240,Ordinary and Partial Differential Equations (Prior to Fall 2024),required_coursework,cheme|cive|ee1|ee2|me,
Ma 326,Linear Algebra,required_coursework,cs|ee2,
Ma 336,Mathematical Statistics,required_coursework,cs,
Ma 337,Operations Research,engineering_electives,,
Ma 341,Differential Geometry,engineering_electives,,
Ma 344,Tensor Analysis,engineering_electives,,
Ma 345,Functions of a Complex Variable,engineering_electives,,
Ma 347,Modern Algebra,engineering_electives,,
Ma 350,Mathematical Analysis I,engineering_electives,,
Ma 351,Mathematical Analysis II,engineering_electives,,
Ma 352,Discrete Mathematics,required_coursework,cs|ee1,
MA 353,Graph Theory,engineering_electives,,
Ma 370,Selected Topics In Mathematics,engineering_electives,,
Ma 371,Selected Topics in Mathematics,engineering_electives,,
Ma 381,Seminar,engineering_electives,,
Ma 382,Seminar (continuation of Ma 381),engineering_electives,,
Ma 391,Research Problem 1,engineering_electives,,
Ma 392,Research Problem 2,engineering_electives,,
Ma 401,Boundary Value Problems,engineering_electives,,
Ma 402,Numerical Analysis,engineering_electives,,
Ma 403,Special Topics in Applied Mathematics,engineering_electives,,
Ma 415,Wavelets and Multiresolution Imaging,engineering_electives,,
Ma 417,Mathematics of Medical Imaging,engineering_electives,,
Ma 470,Selected Advanced Topics in Mathematics,engineering_electives,,
Ma 471,Selected Topics in Mathematics,engineering_electives,,
Ma 491,Research Problem 1,engineering_electives,,
Ma 492,Research Problem 2,engineering_electives,,
Ph 112,Physics I: Mechanics,required_coursework,cheme|cive|cs|ee1|ee2|me,
Ph 165,Concepts of Physics I,engineering_electives,,
Ph 166,Concepts of Physics II,engineering_electives,,
Ph 213,Physics II: Electromagnetic Phenomena,required_coursework,cheme|cive|cs|ee1|ee2|me,
Ph 214,Physics III: Optics and Modern Physics,required_coursework,cive|cs|ee1|ee2|me,
Ph 235,Physics Simulations,engineering_electives,,
Ph 291,Introductory Physics Laboratory,required_coursework,cheme|cive|cs|ee1|ee2|me,
Ph 327,Topics in Modern Physics,engineering_electives,,
Ph 328,Relativity and Electrodynamics,engineering_electives,,
Ph 342,Quantum Entanglement: Theory and Applications,engineering_electives,,
Ph 348,Flow Visualization,engineering_electives,,
Ph 360,Special Topics in Physics,engineering_electives,,
Ph 391,Research in Physics – I,engineering_electives,,
Ph 392,Research in Physics – II,engineering_electives,,
Ph 393,Research in Physics – III,engineering_electives,,
Ph 394,Research in Physics – IV,engineering_electives,,
Ph 429,Chaos and Nonlinear Dynamics in Engineering and Science,engineering_electives,,
Ph 432,Cosmology,engineering_electives,,
Ph 460,Special Topics in Advanced Physics,engineering_electives,,
Ph 491,Advanced Research in Physics – I,engineering_electives,,
Ph 492,Advanced Research in Physics – II,engineering_electives,,
Ph 493,Advanced Research in Physics – III,engineering_electives,,
Ph 494,Advanced Research in Physics – IV,engineering_electives,,
VIP 381A,Smart Cities,,,
VIP 381B,Solar Decathlon,,,
VIP 381C,Motorsports,,,
VIP 381D,Frontiers of Bioengineering,,,
VIP 381E,Autonomous Vehicles,,,
VIP 481A,Smart Cities,,,
VIP 481B,Solar Decathlon,,,
VIP 481C,Motorsports,,,
VIP 481D,Frontiers of Bioengineering,,,
VIP 481E,Autonomous Vehicles,,,
HSS 1,Freshman Seminar,required_coursework,cheme|cive|cs|ee1|ee2|me,
HSS 2,Texts and Contexts: Old Worlds and New,required_coursework,cheme|cive|cs|ee1|ee2|me,
HSS 3,The Making of Modern Society,required_coursework,cheme|cive|cs|ee1|ee2|me,
HSS 4,The Modern Context: Figures and Topics,required_coursework,cheme|cive|cs|ee1|ee2|me,
HUM 105,Fundamentals of Music,,,
HUM 231,Dance in Epidemics and Pandemics: Experimental Dance from AIDS to COVID-19,,,
HUM 242,Greek Mythology,,,
HUM 243,The Fairy Tale,,,
HUM 250,Shakespeare,,,
HUM 304,Dance and Society,,,
HUM 305,"Leonardo, Scientist and Engineer",,,
HUM 307,Theatre Collaborative,,,
HUM 308,Creative Writing,,,
HUM 309,Art and the Crisis of Modernity,,,
HUM 311,New Media,,,
HUM 312,Islamic Aesthetics,,,
HUM 315,Science and Contemporary Thought,,,
HUM 318,Creative Nonfiction Writing,,,
HUM 323,The Poem Itself,,,
HUM 324,The Polar Imagination,,,
HUM 325,"Puppet, Automaton, Robot",,,
HUM 327,The History of the Cinema,,,
HUM 330,Postmodernism and Technology,,,
HUM 331,Eros in Antiquity,,,
HUM 332,"Lucretius, On the Nature of Things",,,
HUM 333,The Age of Augustus,,,
HUM 334,Plato’s Republic,,,
HUM 335,Pythagoras: The Philosophy of Number,,,
HUM 337,Philosophy & Contemporary Art,,,
HUM 338,Philosophies of Liberation,,,
HUM 348,Greek Tragedy,,,
HUM 352,The Personal Essay,,,
HUM 354,Philosophy of Infrastructure,,,
HUM 355,Race & Gender in Literature,,,
HUM 356,Issues in Contemporary Fiction,,,
HUM 358,Studies in Cinema,,,
HUM 361,Modern Philosophy: Knowledge and the Mind,,,
HUM 363,Caribbean Literatures and Societies,,,
HUM 373,Seminar in Humanities,,,
HUM 373A 1,Ovid's Metamorphoses,,,
HUM 373B 1,Ancient Ethics: 3 Texts,,,
HUM 374,Contemporary Culture and Criticism,,,
HUM 375,Critical Theory,,,
HUM 377,Translation as Practice and Paradigm,,,
HUM 381,Post-Colonial Studies,,,
HUM 383,Opera,,,
HUM 387,The Life and Death of Socrates,,,
HUM 389,Love in Western Art and Literature,,,
HUM 391,Philosophy of Ecology,,,
HUM 392,Ethics,,,
HUM 393,Environmental Ethics: Green Growth vs. Degrowth,,,
HUM 394,World Religions,,,
HUM 99,Independent Study (Humanities),,,
SS 220,Environmentalism in Urban Context: Past and Present,humanities_social_science_electives,,
